paper_task,reported_metric,reported_value,seed,source_dataset,generating_script,function,configuration,raw_result_file,aggregate_result_file,table_or_figure,reproducibility_status
T1_anomaly,AUPRC_mean,see_aggregate,all_six,benchmark/instances/*/ecnetbench_v1.sqlite,evaluation/run_full_evaluation.py,aggregate()/eval_binary,temporal_70_15_15+ECNFusionModel,results/per_seed/*.json,results/aggregate.json,tables/performance_mean_ci.csv;figures/T1_*_roc_pr.png,regenerate_with_run_full_evaluation
T1_anomaly,ROC_AUC_mean,see_aggregate,all_six,benchmark/instances/*/ecnetbench_v1.sqlite,evaluation/run_full_evaluation.py,eval_binary,same,results/per_seed/*.json,results/aggregate.json,tables/performance_mean_ci.csv,regenerate_with_run_full_evaluation
T1_anomaly,F1_precision_recall_Brier,see_per_seed,all_six,benchmark/instances/*/ecnetbench_v1.sqlite,evaluation/run_full_evaluation.py,eval_binary+tune_threshold,val_threshold,results/per_seed/*.json,results/aggregate.json,figures/T1_*_cm.png;figures/T1_*_calibration.png,regenerate_with_run_full_evaluation
T2_failure,AUPRC_mean,see_aggregate,all_six,benchmark/instances/*/ecnetbench_v1.sqlite,evaluation/run_full_evaluation.py,aggregate()/eval_binary,enriched_telem_twin_features+anchored_fusion,results/per_seed/*.json,results/aggregate.json,tables/performance_mean_ci.csv;figures/T2_*_roc_pr.png,regenerate_with_run_full_evaluation
T1_T2,ablation_AUPRC,see_ablation_csv,all_six,same,evaluation/run_full_evaluation.py,filter_cols+run_binary_suite,full/no_twin/no_nbr/telem_only/twin_only,results/per_seed/*.json,results/aggregate.json,tables/ablation_ap.csv,regenerate_with_run_full_evaluation
T1_T2,Wilcoxon_Cliffs_delta,see_significance_csv,all_six,same,evaluation/run_full_evaluation.py,wilcoxon_paired/cliffs_delta,paired_across_seeds,results/per_seed/*.json,results/aggregate.json,tables/significance_vs_proposed.csv,regenerate_with_run_full_evaluation
T3_rca,macro_F1,see_aggregate,all_six,same,evaluation/run_full_evaluation.py,run_rca_suite,RF_multiclass+explanations,results/per_seed/*.json,results/aggregate.json,figures/T3_*_cm.png,regenerate_with_run_full_evaluation
TR_AUTO_healing,macro_F1,see_aggregate,all_six,same,evaluation/run_full_evaluation.py,run_healing_suite,full_vs_no_rca_cat,results/per_seed/*.json,results/aggregate.json,reports/ECN_EVALUATION_REPORT.md,regenerate_with_run_full_evaluation
cost_latency,wall_time_s,see_per_seed_cost,all_six,same,evaluation/run_full_evaluation.py,evaluate_seed,wall_clock,results/per_seed/*.json,results/aggregate.json,reports/ECN_EVALUATION_REPORT.md,regenerate_with_run_full_evaluation
framing_claims,T1_T2_conclusions,see_JOURNAL_FRAMING,all_six,same,evaluation/run_full_evaluation.py,aggregate.conclusions,must_match_aggregate_json,results/aggregate.json,results/aggregate.json,reports/JOURNAL_FRAMING_OPTIMIZED.md,verify_claims_against_aggregate_after_rerun
